Date,AAPL,IBM
2009-01-02,3.067142963409424,80.20076751708984
2009-01-05,3.327500104904175,82.61949920654297
2009-01-06,3.426785945892334,83.27915954589844
2009-01-07,3.2789289951324463,83.96749877929688
2009-01-08,3.2296431064605713,83.94837188720703
2009-01-09,3.3289289474487305,83.22179412841797
2009-01-12,3.2307140827178955,80.85086059570312
2009-01-13,3.1514289379119873,81.73995971679688
2009-01-14,3.0799999237060547,80.49713134765625
2009-01-15,2.877500057220459,79.93307495117188
2009-01-16,3.010714054107666,80.88909912109375
2009-01-20,2.9260709285736084,81.03250122070312
2009-01-21,2.8353569507598877,82.4952163696289
2009-01-22,3.1442859172821045,85.8795394897461
2009-01-23,3.1007139682769775,84.5124282836914
2009-01-26,3.1735711097717285,85.82218170166016
2009-01-27,3.2210710048675537,87.73422241210938
2009-01-28,3.2899999618530273,88.62332916259766
2009-01-29,3.3246428966522217,89.46463012695312
2009-01-30,3.307142972946167,88.17399597167969
2009-02-02,3.182142972946167,86.61567687988281
2009-02-03,3.2828569412231445,87.06501007080078
2009-02-04,3.3292860984802246,89.61759185791016
2009-02-05,3.313214063644409,88.0783920288086
2009-02-06,3.4649999141693115,88.44168090820312
2009-02-09,3.5714290142059326,91.7112808227539
2009-02-10,3.618928909301758,91.37667083740234
2009-02-11,3.441786050796509,89.36902618408203
2009-02-12,3.422499895095825,90.25812530517578
2009-02-13,3.5353569984436035,90.62141418457031
2009-02-17,3.4596428871154785,87.69598388671875
2009-02-18,3.3946430683135986,87.16061401367188
2009-02-19,3.3346428871154785,87.05545043945312
2009-02-20,3.192857027053833,84.17781829833984
2009-02-23,3.273214101791382,85.37284851074219
2009-02-24,3.12321400642395,80.90821838378906
2009-02-25,3.2092859745025635,82.21797180175781
2009-02-26,3.2857139110565186,83.03059387207031
2009-02-27,3.14035701751709,84.24474334716797
2009-03-02,3.1471428871154785,87.16061401367188
2009-03-03,3.1760709285736084,86.19503021240234
2009-03-04,3.2207140922546387,85.05735778808594
2009-03-05,3.2307140827178955,84.25430297851562
2009-03-06,3.1549999713897705,83.62332916259766
2009-03-09,3.0064289569854736,80.97514343261719
2009-03-10,3.0310709476470947,81.36711120605469
2009-03-11,3.2074999809265137,83.66156768798828
2009-03-12,3.317857027053833,84.69407653808594
2009-03-13,3.43928599357605,86.42447662353516
2009-03-16,3.447499990463257,87.61949920654297
2009-03-17,3.4014289379119873,87.1032485961914
2009-03-18,3.568213939666748,85.52581024169922
2009-03-19,3.637500047683716,88.75717163085938
2009-03-20,3.646070957183838,89.06309509277344
2009-03-23,3.6682140827178955,89.57935333251953
2009-03-24,3.7985711097717285,93.39388275146484
2009-03-25,3.8421430587768555,94.13957977294922
2009-03-26,3.8510708808898926,94.13957977294922
2009-03-27,3.865356922149658,91.76863861083984
2009-03-30,3.7325000762939453,87.95410919189453
2009-03-31,3.766071081161499,90.783935546875
2009-04-01,3.7174999713897705,91.9024887084961
2009-04-02,3.9335711002349854,94.7896728515625
2009-04-03,4.078214168548584,95.34416961669922
2009-04-06,4.105000019073486,96.46271514892578
2009-04-07,4.161786079406738,95.76481628417969
2009-04-08,4.122499942779541,95.07648468017578
2009-04-09,4.229286193847656,97.5239028930664
2009-04-13,4.286070823669434,95.86997985839844
2009-04-14,4.270357131958008,94.7227554321289
2009-04-15,4.185713768005371,93.9101333618164
2009-04-16,4.256785869598389,95.35372924804688
2009-04-17,4.32785701751709,96.73040008544922
2009-04-20,4.347499847412109,95.8795394897461
2009-04-21,4.246070861816406,94.08221435546875
2009-04-22,4.379642963409424,96.72084045410156
2009-04-23,4.5221428871154785,98.13575744628906
2009-04-24,4.4514288902282715,96.72084045410156
2009-04-27,4.389286041259766,95.22944641113281
2009-04-28,4.4053568840026855,94.99044036865234
2009-04-29,4.458929061889648,97.4952163696289
2009-04-30,4.507856845855713,99.95220184326172
2009-05-01,4.492856979370117,99.216064453125
2009-05-04,4.579999923706055,100.63097381591797
2009-05-05,4.705357074737549,101.33843231201172
2009-05-06,4.761785984039307,100.602294921875
2009-05-07,4.726070880889893,100.04779815673828
2009-05-08,4.6085710525512695,99.02485656738281
2009-05-11,4.548929214477539,96.64435577392578
2009-05-12,4.627142906188965,98.45124053955078
2009-05-13,4.400356769561768,98.35564422607422
2009-05-14,4.277856826782227,97.24665069580078
2009-05-15,4.368570804595947,96.46271514892578
2009-05-18,4.418929100036621,97.51434326171875
2009-05-19,4.529285907745361,99.74187469482422
2009-05-20,4.55821418762207,100.86997985839844
2009-05-21,4.4696431159973145,98.53728485107422
2009-05-22,4.430356979370117,98.15487670898438
2009-05-26,4.455714225769043,96.86424255371094
2009-05-27,4.7064290046691895,99.75143432617188
2009-05-28,4.76607084274292,98.79541015625
2009-05-29,4.835357189178467,99.87571716308594
2009-06-01,4.873929023742676,102.23709106445312
2009-06-02,4.963929176330566,102.78202819824219
2009-06-03,5.0,101.84512329101562
2009-06-04,5.004642963409424,101.5009536743164
2009-06-05,5.189642906188965,102.60993957519531
2009-06-08,5.1364288330078125,101.95028686523438
2009-06-09,5.13607120513916,103.39388275146484
2009-06-10,5.0814290046691895,104.397705078125
2009-06-11,4.98392915725708,103.96749877929688
2009-06-12,4.957499980926514,103.63288879394531
2009-06-15,4.857500076293945,102.8967514038086
2009-06-16,4.880713939666748,103.6998062133789
2009-06-17,4.881071090698242,102.73422241210938
2009-06-18,4.8610711097717285,102.22753143310547
2009-06-19,4.931070804595947,101.63479614257812
2009-06-22,5.023929119110107,100.55449676513672
2009-06-23,4.871428966522217,100.14340209960938
